ID,Tweet,Retweets,Favorites,Hashtag,Date,Time,Retweet,User ID,User,User Screen Name,Location,Followers,Friends,Listed,User Total Tweets,Replied To
916319253371944000,RT @PedroPedrosoC: Recrudecimiento del bloqueo de los #EEUU vs #Cuba. Descargue Informe de #Cuba s/la Resolución 71/5 #UNGA2017 @cubavsbloq…,26,0,"EEUU, Cuba, Cuba, UNGA2017",10/6/2017,15:08:29,TRUE,855515412053848000,Humberto,HRiveroRosario,,132,512,0,612,
916316556715544000,Delegates and reporters begin to gather in the UN's ECOSOC chamber for a meeting with the GA president #unga2017 https://t.co/BGdHp44tyB,0,0,unga2017,10/6/2017,14:57:46,FALSE,521674324,Philip H. DeVoe,PhilipDeVoe,"New York, NY",307,396,6,2060,
916316552798048000,"RT @avucic: ????? ???? ????? ?? ?????? ? ???????? ?????? ??????? ?? ??????? ???? ? ???????????. 
#UNGA #UNGA2017  https://t.co/wAzvN4c4Nl",1551,0,"UNGA, UNGA2017",10/6/2017,14:57:45,TRUE,725682364932829000,Julijana Damnjanovic,julijanadamnja1,,61,200,0,65,
916310431932616000,"RT @Lalitdixit90: ?? ????????? ?? ???? ?? ???? ??? ??? ???? RavyaAbu ?? ????? ???? ?? ??????? ?? ??? ??? ????????????
???? ???? 2G ?????? ?…",53,0,,10/6/2017,14:33:25,TRUE,2703537685,Brajesh Jha,brajeshbk2003,????,1699,1573,4,16423,
916309732180283000,RT @PedroPedrosoC: Recrudecimiento del bloqueo de los #EEUU vs #Cuba. Descargue Informe de #Cuba s/la Resolución 71/5 #UNGA2017 @cubavsbloq…,26,0,"EEUU, Cuba, Cuba, UNGA2017",10/6/2017,14:30:39,TRUE,515587883,Zucel de la Peña,LaZucel,,510,651,4,6529,
916306397855350000,RT @newsemaratyah: ?? ??????? ??????? ???????? ???? ????? ??? ??? ??????? ??? ?????? ????? ????? ?? ?????? ???? #UNGA2017  #UNGA #??? https…,41,0,"UNGA2017, UNGA, ???",10/6/2017,14:17:24,TRUE,910148308492062000,m7nsoor,m7nsoor55,,63,758,0,107,
916303915062194000,RT @HindiPratyaksha: #NorthKorea warns #Japan of a nuclear attack over PM Shinzo Abe's appeal at the #UNGA2017 to force the Korean nation e…,14,0,"NorthKorea, Japan, UNGA2017",10/6/2017,14:07:32,TRUE,4832017935,Paresh Raskar,PareshRaskar12,,233,652,61,2922,
916301601400168000,"RT @Lalitdixit90: ?? ????????? ?? ???? ?? ???? ??? ??? ???? RavyaAbu ?? ????? ???? ?? ??????? ?? ??? ??? ????????????
???? ???? 2G ?????? ?…",53,0,,10/6/2017,13:58:20,TRUE,891479888980361000,Ghanshyambishnoi,Ghanshyambish10,"Hyderabad, India",97,304,0,1237,
916300982295789000,"RT @Lalitdixit90: ?? ????????? ?? ???? ?? ???? ??? ??? ???? RavyaAbu ?? ????? ???? ?? ??????? ?? ??? ??? ????????????
???? ???? 2G ?????? ?…",53,0,,10/6/2017,13:55:52,TRUE,3094404486,?RANJAN KUMAR???????,ranjankumar586,??FollowBack & unfolowers?????,2927,3451,3,5488,
916297363546886000,RT @PedroPedrosoC: Recrudecimiento del bloqueo de los #EEUU vs #Cuba. Descargue Informe de #Cuba s/la Resolución 71/5 #UNGA2017 @cubavsbloq…,26,0,"EEUU, Cuba, Cuba, UNGA2017",10/6/2017,13:41:30,TRUE,788552398348357000,Walquiria Isabel,walquy64,,32,53,0,921,
