EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,EXT1_E,EXT2_E,EXT3_E,EXT4_E,EXT5_E,EXT6_E,EXT7_E,EXT8_E,EXT9_E,EXT10_E,EST1_E,EST2_E,EST3_E,EST4_E,EST5_E,EST6_E,EST7_E,EST8_E,EST9_E,EST10_E,AGR1_E,AGR2_E,AGR3_E,AGR4_E,AGR5_E,AGR6_E,AGR7_E,AGR8_E,AGR9_E,AGR10_E,CSN1_E,CSN2_E,CSN3_E,CSN4_E,CSN5_E,CSN6_E,CSN7_E,CSN8_E,CSN9_E,CSN10_E,OPN1_E,OPN2_E,OPN3_E,OPN4_E,OPN5_E,OPN6_E,OPN7_E,OPN8_E,OPN9_E,OPN10_E,dateload,screenw,screenh,introelapse,testelapse,endelapse,IPC,country,lat_appx_lots_of_err,long_appx_lots_of_err
4,1,5,2,5,1,5,2,4,1,1,4,4,2,2,2,2,2,3,2,2,5,2,4,2,3,2,4,3,4,3,4,3,2,2,4,4,2,4,4,5,1,4,1,4,1,5,3,4,5,9419,5491,3959,4821,5611,2756,2388,2113,5900,4110,6135,4150,5739,6364,3663,5070,5709,4285,2587,3997,4750,5475,11641,3115,3207,3260,10235,5897,1758,3081,6602,5457,1569,2129,3762,4420,9382,5286,4983,6339,3146,4067,2959,3411,2170,4920,4436,3116,2992,4354,2016-03-03 02:01:01,768,1024,9,234,6,1,GB,51.5448,0.1991
3,5,3,4,3,3,2,5,1,5,2,3,4,1,3,1,2,1,3,1,1,4,1,5,1,5,3,4,5,3,3,2,5,3,3,1,3,3,5,3,1,2,4,2,3,1,4,2,5,3,7235,3598,3315,2564,2976,3050,4787,3228,3465,3309,9036,2406,3484,3359,3061,2539,4226,2962,1799,1607,2158,2090,2143,2807,3422,5324,4494,3627,1850,1747,5163,5240,7208,2783,4103,3431,3347,2399,3360,5595,2624,4985,1684,3026,4742,3336,2718,3374,3096,3019,2016-03-03 02:01:20,1360,768,12,179,11,1,MY,3.1698,101.706
2,3,4,4,3,2,1,3,2,5,4,4,4,2,2,2,2,2,1,3,1,4,1,4,2,4,1,4,4,3,4,2,2,2,3,3,4,2,4,2,5,1,2,1,4,2,5,3,4,4,4657,3549,2543,3335,5847,2540,4922,3142,14621,2191,5128,3675,3442,4546,8275,2185,2164,1175,3813,1593,1089,2203,3386,1464,2562,1493,3067,13719,3892,4100,4286,4775,2713,2813,4237,6308,2690,1516,2379,2983,1930,1470,1644,1683,2229,8114,2043,6295,1585,2529,2016-03-03 02:01:56,1366,768,3,186,7,1,GB,54.9119,-1.3833
2,2,2,3,4,2,2,4,1,4,3,3,3,2,3,2,2,2,4,3,2,4,3,4,2,4,2,4,3,4,2,4,4,4,1,2,2,3,1,4,4,2,5,2,3,1,4,4,3,3,3996,2896,5096,4240,5168,5456,4360,4496,5240,4000,3736,4616,3015,2711,3960,4064,4208,2936,7336,3896,6062,11952,1040,2264,3664,3049,4912,7545,4632,6896,2824,520,2368,3225,2848,6264,3760,10472,3192,7704,3456,6665,1977,3728,4128,3776,2984,4192,3480,3257,2016-03-03 02:02:02,1920,1200,186,219,7,1,GB,51.75,-1.25
3,3,3,3,5,3,3,5,3,4,1,5,5,3,1,1,1,1,3,2,1,5,1,5,1,3,1,5,5,3,5,1,5,1,3,1,5,1,5,5,5,1,5,1,5,1,5,3,5,5,6004,3965,2721,3706,2968,2426,7339,3302,16819,3731,4740,2856,7461,2179,3324,2255,4308,4506,3127,3115,6771,2819,3682,2511,16204,1736,28983,1612,2437,4532,3843,7019,3102,3153,2869,6550,1811,3682,21500,20587,8458,3510,17042,7029,2327,5835,6846,5320,11401,8642,2016-03-03 02:02:57,1366,768,8,315,17,2,KE,1.0,38.0
3,3,4,2,4,2,2,3,3,4,3,4,3,2,2,1,2,1,2,2,2,3,1,4,2,3,2,3,4,4,3,2,4,1,3,2,4,3,4,3,5,1,5,1,3,1,5,4,5,2,4834,5064,1160,2664,6711,3344,2512,6264,6992,4592,2808,1776,3280,4520,2640,5408,3647,3183,1575,672,6375,4727,3775,1647,1233,8694,2904,2152,2856,2848,4288,4360,7328,3976,7895,2640,1760,5720,9032,3928,2104,5488,3656,4352,2681,3272,2640,1568,1640,3192,2016-03-03 02:03:12,1600,1000,4,196,3,1,SE,59.3333,18.05
4,3,4,3,3,3,5,3,4,3,2,4,4,2,4,2,2,2,4,4,1,2,1,5,3,5,3,4,4,5,3,2,4,2,1,4,4,2,2,5,5,2,4,3,4,1,5,5,4,4,3908,2965,2268,5339,2669,2664,3254,7038,2782,2696,3075,788,3026,2943,2796,3964,2486,4139,2546,2912,7876,6190,4352,3050,3637,2589,3644,3259,2843,6138,6018,4328,3415,3107,3193,3501,2385,2661,2565,1057,3773,3274,2292,8305,2319,4013,2661,3591,3484,3872,2016-03-03 02:05:00,360,640,36,179,10,1,US,30.3322,-81.6556
3,1,5,2,5,2,5,2,3,2,2,4,2,4,2,1,2,1,1,1,2,5,2,4,3,2,2,4,4,4,5,1,5,1,4,2,3,2,5,5,4,1,3,1,5,1,4,3,4,5,8559,3120,4377,4928,1656,2912,4200,10848,3640,3520,5808,2944,2487,5952,2560,5001,2576,7952,4321,3752,5720,2584,3463,3408,5168,7176,3048,2648,3313,3936,3928,4752,2777,4416,4992,4224,3848,3400,2087,3048,2000,5248,2969,8664,2264,5432,2200,4248,3768,2520,2016-03-03 02:05:08,1440,900,15,210,17,1,MY,2.9927,101.7909
2,2,3,3,4,2,2,2,4,4,3,4,4,1,2,2,3,2,3,4,1,5,1,5,1,3,1,4,4,4,3,3,4,0,3,4,1,2,1,4,4,1,5,1,4,1,5,2,5,5,3973,2970,7239,2586,2235,5071,2719,5806,2986,3102,2453,4553,4470,8242,4772,4070,5655,5339,6390,3203,2601,2486,2853,2667,2668,2186,4220,1867,2685,3387,4387,5122,2636,0,1901,7473,2353,2653,5154,3086,2834,2936,2052,3720,1684,2736,4086,5037,2935,1135,2016-03-03 02:05:27,2560,1440,2,181,4,1,GB,53.423,-2.2166
1,5,3,5,2,3,2,4,5,4,3,3,3,3,4,3,3,3,3,3,5,3,5,1,5,3,4,2,3,2,2,5,1,5,1,4,3,4,2,2,3,1,3,1,3,3,4,3,3,3,5420,7347,6391,6083,8647,3221,4300,11316,18051,3601,3077,3152,3206,2113,3684,2955,3002,3202,2103,1281,2273,3562,3818,7513,7159,2887,3132,17241,8739,2376,4742,4643,4466,5816,8356,3601,3128,4884,4276,6816,3801,3964,3499,3319,9295,3113,2418,3028,4745,1191,2016-03-03 02:08:06,1600,900,6,261,13,1,FI,60.1708,24.9375
3,3,2,3,3,2,4,3,3,5,4,3,4,1,2,3,5,4,4,5,2,5,3,4,2,3,1,3,4,2,1,5,5,5,1,5,3,1,1,5,5,1,5,1,5,1,5,5,5,5,2687,2346,1784,1696,2620,3288,4442,1717,2269,2400,2625,2042,1803,1811,3687,3546,3794,2054,2436,1419,3166,1156,2215,2530,2227,2206,3157,2755,2225,1288,2207,1318,1459,3266,1198,2397,2320,1952,1968,1832,1870,2105,1118,1928,1606,1197,964,1434,1858,1193,2016-03-03 02:08:17,1440,900,6,110,7,1,UA,50.4333,30.5167
