ID,Tweet,Retweets,Favorites,Hashtag,Date,Time,Retweet,User ID,User,User Screen Name,Location,Followers,Friends,Listed,User Total Tweets,Replied To
916311068112191000,RT @jdpc_ijebuode: @naijama @SituationRoomNg @YemiOsinbajoVP What are you doing about Sustainable Development Goal #act4sdgs,2,0,act4sdgs,10/6/2017,14:35:57,TRUE,132463310,Ayo Obe,naijama,"Lagos, Nigeria",24692,280,195,112920,
916296774133919000,RT @MyEDF: #SDGs can't be achieved without the real inclusion &amp; full participation of persons w/ #disabilities #MakeEuropeSustainableForAll…,42,0,"SDGs, disabilities, MakeEuropeSustainableForAll",10/6/2017,13:39:09,TRUE,2178572173,EFHOH,efhoh,Europe,507,412,52,3636,
916294499726512000,Tracking progress on #SDG7 needs new indicators that also consider interplay with other goals.  Read free:… https://t.co/R3pyOPlJxi,0,1,SDG7,10/6/2017,13:30:07,FALSE,3144159117,Nature Energy,NatureEnergyJnl,"London, England",4857,394,134,1374,
916285061464494000,RT @IPBES: Better evidence about nature = key to know how we're doing on #SDGs #Act4SDGs &amp; let's stick to the #GlobalGoals  https://t.co/Lq…,7,0,"SDGs, Act4SDGs, GlobalGoals",10/6/2017,12:52:37,TRUE,186391235,Eco-land lab,ecolandlab,Solsona,1900,1433,144,11516,
916279838369034000,"RT @SDGaction: 1000+ actions, 500+ orgs, 116+ countries: #WeThePeople #ACT4SDGs all over the ??! https://t.co/YGWrbJr9XH #sdgs https://t.co/…",25,0,"WeThePeople, ACT4SDGs, sdgs",10/6/2017,12:31:51,TRUE,551717240,Emilia Saiz,UCLG_Saiz,,3274,780,273,15038,
916265538329833000,"RT @AgeingNepal: THE WORLD #ELDERLY WANT 
#act4sdgs https://t.co/nCHbJq6e3x",23,0,"ELDERLY, act4sdgs",10/6/2017,11:35:02,TRUE,3226105267,sanju Thapa Magar,SanjuTMagar,,123,171,10,429,
916265100280922000,"RT @AgeingNepal: THE WORLD #ELDERLY WANT 
#act4sdgs https://t.co/nCHbJq6e3x",23,0,"ELDERLY, act4sdgs",10/6/2017,11:33:17,TRUE,849611311012913000,Pabitra Adhikari,psychologypk,,25,79,0,65,
916265065849831000,RT @AgeingNepal: A rally of older persons organized to mark the two-year? ?anniversary? ?of? ?the? ?Agenda? ?2030. Glimpses of the rally. #…,13,0,,10/6/2017,11:33:09,TRUE,849611311012913000,Pabitra Adhikari,psychologypk,,25,79,0,65,
916262723171901000,RT @OlumideIDOWU: @ossap_sdgs @RoseKeffas_G @estherclimate @HilaryOgbonna @SustyVibes @ngsdgsyouths Sharing experience on the update of @Gl…,8,0,,10/6/2017,11:23:51,TRUE,1722682285,THE NOISE MAKER™,Druhgzz_,,948,1120,15,6876,
916262654066528000,RT @ngsdgsyouths: More than 90% of people living with HIV/AIDS in Nigeria know it and we need to do more on education as a vaccine - #Act4S…,2,0,,10/6/2017,11:23:34,TRUE,1722682285,THE NOISE MAKER™,Druhgzz_,,948,1120,15,6876,
916262634613243000,"RT @ngsdgsyouths: Our team in Abuja are ready to #Act4SDGs with an #SDGsDinner
What are you doing for the #GlobalGoals? https://t.co/Q8WGhf…",11,0,"Act4SDGs, SDGsDinner, GlobalGoals",10/6/2017,11:23:30,TRUE,1722682285,THE NOISE MAKER™,Druhgzz_,,948,1120,15,6876,
916243968249270000,RT @jdpc_ijebuode: @naijama @SituationRoomNg @YemiOsinbajoVP What are you doing about Sustainable Development Goal #act4sdgs,2,0,act4sdgs,10/6/2017,10:09:19,TRUE,207656548,??IJOBA??FEDERAL??,Olaijoba,Nigeria,372,539,6,1471,
916237075904679000,@naijama @SituationRoomNg @YemiOsinbajoVP What are you doing about Sustainable Development Goal #act4sdgs,2,1,act4sdgs,10/6/2017,9:41:56,FALSE,2168255431,JDPC IJEBU-ODE,jdpc_ijebuode,Ijebu-Ode,282,335,3,1578,naijama
916223522661371000,"RT @CombatNTDs: #SDGs are 2 yrs old! Great progress has been made on the NTD indicator, but more work is still needed! Share how you #Act4S…",12,0,SDGs,10/6/2017,8:48:05,TRUE,1136543828,DeirdreHollingsworth,DeirdreHoll,,614,565,13,285,
916212371139555000,RT @ActionAid_Kenya: Women and girls MUST be at the heart of #SDG agenda for development. #Act4SDGs Retweet to support our campaigns to #en…,32,0,"SDG, Act4SDGs",10/6/2017,8:03:46,TRUE,586475550,silvester nyamongo,silvesternyamon,,1885,5001,398,27654,
916212289883332000,RT @ActionAid_Kenya: We advocate for policies and enforceable legislation to promote of gender equality &amp; empowerment of women &amp; girls at a…,3,0,,10/6/2017,8:03:26,TRUE,586475550,silvester nyamongo,silvesternyamon,,1885,5001,398,27654,
916199303953158000,"RT @Coalition2030IR: #Act4SDGs &amp; #LeaveNoOneBehind!  #EndPoverty, #FightInequality &amp; #ActOnClimate is a good way to #MakeEuropeSustainableF…",3,0,"Act4SDGs, LeaveNoOneBehind, EndPoverty, FightInequality, ActOnClimate",10/6/2017,7:11:50,TRUE,2651017782,Bobby McCormack,BobbyMc2014,,1080,1813,61,7568,
916172590317817000,"RT @Coalition2030IR: #Act4SDGs &amp; #LeaveNoOneBehind!  #EndPoverty, #FightInequality &amp; #ActOnClimate is a good way to #MakeEuropeSustainableF…",3,0,"Act4SDGs, LeaveNoOneBehind, EndPoverty, FightInequality, ActOnClimate",10/6/2017,5:25:41,TRUE,2698084794,Human Rights People,GHRPorg,Worldwide,4398,2199,321,11734,
916169044029558000,"RT @Coalition2030IR: #Act4SDGs &amp; #LeaveNoOneBehind!  #EndPoverty, #FightInequality &amp; #ActOnClimate is a good way to #MakeEuropeSustainableF…",3,0,"Act4SDGs, LeaveNoOneBehind, EndPoverty, FightInequality, ActOnClimate",10/6/2017,5:11:36,TRUE,855972881049698000,Maggie Haseman,maggiesmumbles,"Portland, OR",681,445,20,15740,
916156046237978000,"#Act4SDGs &amp; #LeaveNoOneBehind!  #EndPoverty, #FightInequality &amp; #ActOnClimate is a good way to… https://t.co/wvjmzQjKhw",3,2,"Act4SDGs, LeaveNoOneBehind, EndPoverty, FightInequality, ActOnClimate",10/6/2017,4:19:57,FALSE,883582765626798000,Irish Coalition 2030,Coalition2030IR,"Dublin City, Ireland",150,0,2,385,
916141458725388000,RT @iamJoshuaAlade: @SDGchallenge @SDGsInAction @SDSNYouth @GlobalGoalsUK @GlobalGoalsAus @GlobalGoalsUN @SDGSID @MeetTheSDGs @SDGsUG @sdgs…,3,0,,10/6/2017,3:21:59,TRUE,852692995547643000,Growing Gold,GroGold,"Mississippi, USA",1487,1406,13,10190,
916139506981658000,RT @PeaceDay: #JoinTogether with SDG Action Campaign and #Act4SDGs https://t.co/rT1G0lYbgF,1,0,"JoinTogether, Act4SDGs",10/6/2017,3:14:14,TRUE,382061625,Open Space Centre,OpenSpaceUganda,,875,594,8,3635,
916139048175009000,#JoinTogether with SDG Action Campaign and #Act4SDGs https://t.co/rT1G0lYbgF,1,0,"JoinTogether, Act4SDGs",10/6/2017,3:12:24,FALSE,22463542,Peace Day,PeaceDay,,19994,4803,604,23502,
916137633134280000,"RT @SDGaction: 1000+ actions, 500+ orgs, 116+ countries: #WeThePeople #ACT4SDGs all over the ??! https://t.co/YGWrbJr9XH #sdgs https://t.co/…",25,0,"WeThePeople, ACT4SDGs, sdgs",10/6/2017,3:06:47,TRUE,3346017562,yeni çiçekten,AfricaHakan,,98,423,30,2052,
916127573125550000,"RT @EndWaterPoverty: What are you doing to celebrate the two year anniversary of the #SDGs? #Act4SDGs

#Water #Sanitation #SDG6 #WASH https…",4,0,"SDGs, Act4SDGs, Water, Sanitation, SDG6, WASH",10/6/2017,2:26:48,TRUE,2610768870,WaterForEmpowerment,H2O4Empowerment,"Indianapolis, IN",42,60,1,227,
916122220061249000,"RT @SDGaction: 1000+ actions, 500+ orgs, 116+ countries: #WeThePeople #ACT4SDGs all over the ??! https://t.co/YGWrbJr9XH #sdgs https://t.co/…",25,0,"WeThePeople, ACT4SDGs, sdgs",10/6/2017,2:05:32,TRUE,31476142,Janette Dean,JanetteD,United States,494,800,77,5792,
916101831037726000,"RT @SDGaction: 1000+ actions, 500+ orgs, 116+ countries: #WeThePeople #ACT4SDGs all over the ??! https://t.co/YGWrbJr9XH #sdgs https://t.co/…",25,0,"WeThePeople, ACT4SDGs, sdgs",10/6/2017,0:44:31,TRUE,38990566,Rebeca Arias,RAriasD,,324,168,50,3384,
916101712187875000,"RT @SDGaction: 1000+ actions, 500+ orgs, 116+ countries: #WeThePeople #ACT4SDGs all over the ??! https://t.co/YGWrbJr9XH #sdgs https://t.co/…",25,0,"WeThePeople, ACT4SDGs, sdgs",10/6/2017,0:44:03,TRUE,1728180828,Campaign_ID,Campaign_ID,Indonesia,13236,1222,59,14081,
916086259306717000,"RT @SDGaction: 1000+ actions, 500+ orgs, 116+ countries: #WeThePeople #ACT4SDGs all over the ??! https://t.co/YGWrbJr9XH #sdgs https://t.co/…",25,0,"WeThePeople, ACT4SDGs, sdgs",10/5/2017,23:42:38,TRUE,878677029369126000,SecretGarden,SecretGardenAT,México,2705,1148,1,961,
