Field_1,Count
0,1
000,1
1,128
10,5
100,4
100-0,2
1000,1
1004,1
1009,1
101,1
1012,1
1016,1
102,1
1020,1
1024,1
1028,1
103,1
1033,1
1036,1
104,2
1040,1
1044,1
1049,1
105,1
1053,1
1057,1
106,1
1060,1
1065,1
1069,1
107,1
1072,1
1078,1
108,2
1081,1
1085,1
1088,1
109,1
1093,1
1096,1
11,3
110,1
1100,1
1105,1
1108,1
111,1
1112,1
1116,1
112,2
1120,1
1124,1
1129,1
113,1
1132,1
1136,1
114,1
1141,1
1144,1
1148,1
115,1
1152,1
1156,1
116,2
1160,1
1164,1
1168,1
117,1
1172,1
118,1
1180,1
1184,1
1189,1
119,1
1192,1
12,5
120,2
121,1
122,1
123,1
124,2
125,1
126,1
127,2
128,1
129,1
13,4
130,1
131,1
132,2
133,1
134,1
135,1
136,2
137,1
138,1
139,2
14,2
140,1
141,1
142,1
143,1
144,2
145,1
146,1
147,1
148,2
149,1
15,2
150,1
1500,1
151,2
152,1
153,1
154,1
156,1
16,2
160,1
1634,1
164,1
168,1
17,1
172,1
176,1
18,1
180,1
184,1
188,1
19,1
192,1
196,1
1990-1993,1
1991,1
1991-1994,1
1994,1
2,87
20,4
200,1
2001,1
2017,3
2019,1
204,1
208,1
21,1
212,1
216,1
22,1
220,1
224,1
228,1
23,1
232,1
236,1
239,1
24,2
244,1
248,1
25,1
252,1
256,1
26,1
260,1
264,1
269,1
27,1
272,1
276,1
28,2
281,1
284,1
288,1
29,1
292,1
2d,1
2s,2
3,91
30,2
300,1
304,1
308,1
31,1
312,1
316,1
32,2
320,1
324,1
328,1
33,1
332,1
336,1
34,1
340,1
344,1
348,1
35,1
352,1
356,1
36,2
361,1
364,1
368,1
37,1
376,1
38,1
380,1
384,1
388,1
39,1
392,1
396,1
4,67
40,2
400,1
404,1
408,1
41,1
412,1
416,1
42,1
420,1
424,1
428,1
43,1
433,1
436,1
44,2
440,1
445,1
448,1
45,1
452,1
456,1
46,1
460,1
464,1
468,1
47,1
472,1
476,1
48,2
480,1
484,1
488,1
49,1
492,1
496,1
4d,1
5,26
50,2
500,1
501,1
504,1
508,1
51,1
512,1
516,1
52,2
520,1
524,1
528,1
53,1
532,1
536,1
54,1
540,1
544,1
548,1
55,1
552,1
556,1
56,2
561,1
564,1
568,1
57,1
572,1
577,1
58,1
580,1
584,1
588,1
59,1
592,1
596,1
596-1887,1
5s,1
6,14
60,3
600,1
604,1
